,Linear Regression,Ridge Regression,Lasso,KNeighbors Regressor,RandomForest Regressor,Bagging Regressor,AdaBoost Regressor,XGBoost
MSLE,0.000846250607128591,0.0008462509091173738,0.0008462727954668625,0.00021975726193506996,0.00018668928130895427,0.00028041179085297913,0.0001951612723818725,0.00017184439401514328
Root MSLE,0.029090386850789574,0.029090392041314497,0.029090768217200153,0.014824212017340752,0.013663428607379418,0.016745500615179564,0.013970013327906044,0.013108943283695421
R2 Score,0.6678172854062833,0.6678165665246123,0.6678070914566148,0.9167288291956442,0.9293523440823636,0.8943483726405516,0.9262897725699563,0.9348410621328321
Accuracy(%),66.7817,66.7817,66.7807,91.6729,92.9352,89.4348,92.629,93.4841
